timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-01,153.8700,154.0800,150.0700,151.5200,151.5200,6309237,0.0000,1.0000
2020-08-31,153.0000,154.4000,152.2605,153.4100,153.4100,6362683,0.0000,1.0000
2020-08-28,152.7400,153.7000,151.9000,153.6400,153.6400,5395684,0.0000,1.0000
2020-08-27,152.4200,153.2600,151.8900,152.9800,152.9800,5575432,0.0000,1.0000
2020-08-26,151.8600,152.6500,150.6400,152.3000,152.3000,8008292,0.0000,1.0000
2020-08-25,152.7800,153.0700,151.5350,152.0600,152.0600,3863477,0.0000,1.0000
2020-08-24,152.7400,152.9000,150.3500,152.1500,152.1500,5387937,1.0100,1.0000
2020-08-21,151.7800,153.6500,150.5901,152.7600,151.7526,6722759,0.0000,1.0000
2020-08-20,149.7500,151.5800,149.5457,151.4200,150.4215,4874739,0.0000,1.0000
2020-08-19,149.5800,151.5800,149.3200,150.3900,149.3983,7816251,0.0000,1.0000
2020-08-18,149.2600,150.1000,148.5700,150.0900,149.1002,4322567,0.0000,1.0000
2020-08-17,148.3200,150.2300,148.2300,148.9900,148.0075,4161971,0.0000,1.0000
2020-08-14,147.6100,149.3400,147.5800,148.2400,147.2624,4240189,0.0000,1.0000
2020-08-13,148.5400,149.1900,147.5300,148.0000,147.0240,5155457,0.0000,1.0000
2020-08-12,147.5400,150.2400,147.4900,149.6600,148.6731,5258127,0.0000,1.0000
2020-08-11,149.1400,149.2300,146.3700,146.9700,146.0008,6388389,0.0000,1.0000
2020-08-10,148.8600,149.0100,147.7200,148.0300,147.0538,4096620,0.0000,1.0000
2020-08-07,147.5100,148.6500,147.1500,148.6000,147.6201,3635071,0.0000,1.0000
2020-08-06,148.4000,149.2500,146.5000,147.5500,146.5770,4837865,0.0000,1.0000
2020-08-05,149.1000,149.3100,147.8000,148.4000,147.4214,5493196,0.0000,1.0000
2020-08-04,146.9900,147.2200,145.8247,147.2200,146.2492,4162154,0.0000,1.0000
2020-08-03,146.3900,147.7900,146.1500,147.3500,146.3783,4079755,0.0000,1.0000
2020-07-31,146.6600,147.4500,143.9600,145.7600,144.7988,8257997,0.0000,1.0000
2020-07-30,147.4400,147.5000,146.1400,146.8400,145.8717,5922481,0.0000,1.0000
2020-07-29,146.3900,147.4700,146.0700,146.5400,145.5737,4489147,0.0000,1.0000
2020-07-28,147.4000,147.9900,146.7500,146.8300,145.8617,4842184,0.0000,1.0000
2020-07-27,147.3700,148.9200,146.8600,147.1800,146.2094,5675155,0.0000,1.0000
2020-07-24,150.5000,150.6000,147.0300,148.1200,147.1432,5405867,0.0000,1.0000
2020-07-23,150.2100,150.8500,149.2800,149.6100,148.6234,6566269,0.0000,1.0000
2020-07-22,149.9300,150.4050,147.8500,150.0100,149.0208,5910193,0.0000,1.0000
2020-07-21,149.6000,151.6700,149.5000,149.7400,148.7526,5579700,0.0000,1.0000
2020-07-20,150.2300,150.3200,148.4300,149.6000,148.6135,6191500,0.0000,1.0000
2020-07-17,150.0000,150.5800,148.6900,149.3500,148.3651,7441100,0.0000,1.0000
2020-07-16,148.6800,149.3400,146.6800,149.2500,148.2658,9304700,0.0000,1.0000
2020-07-15,149.7300,150.2100,148.2300,148.2600,147.2823,8512800,0.0000,1.0000
2020-07-14,145.3200,148.3900,145.2600,147.9200,146.9446,7447100,0.0000,1.0000
2020-07-13,143.6100,146.6400,143.2800,145.2100,144.2524,6951900,0.0000,1.0000
2020-07-10,142.7500,142.8700,141.4300,142.3700,141.4312,4282400,0.0000,1.0000
2020-07-09,142.7600,144.4300,140.5800,142.4900,141.5504,5738600,0.0000,1.0000
2020-07-08,142.8700,143.3900,141.7000,143.2700,142.3252,6257400,0.0000,1.0000
2020-07-07,141.3900,143.9700,141.2300,142.8500,141.9080,5622600,0.0000,1.0000
2020-07-06,142.1700,143.7700,141.8800,142.9800,142.0371,6156400,0.0000,1.0000
2020-07-02,141.2500,141.8400,140.3300,140.9700,140.0404,5150600,0.0000,1.0000
